"Company Name","Street Address","City","State","Zip Code","Zip Plus","Contact First Name","Contact Last Name","Contact Title","Phone","Business Description","Primary NAICS","NAICS2","NAICS3","NAICS4","NAICS5","Business Type","County","Employee","Annual Sales","URL","Year Established"
"Three Point Food Mart","720 College St N","Madisonville","TN","37354","1108","","","","4234423873","Liquors-Retail","445310","445120","445110","","","Private","Monroe","3.00","633000.00","","2011"
"Tiger Liquor","7700 Highway 76","Pendleton","SC","29670","1830","Mital","Patel","Owner","8645023033","Liquors-Retail","445310","","","","","Private","Anderson","2.00","956000.00","","2018"
"Tiger Spirits","1085 Old Clemson Hwy","Seneca","SC","29672","8028","Jimmy","Priddy","Owner","8645063762","Liquors-Retail","445310","","","","","Private","Oconee","1.00","218000.00","","2015"
"Tilghman Plaza Liquors","1000 Highway 17 N","North Myrtle Bch","SC","29582","2806","Sue","Bellinger","Owner","8432496585","Liquors-Retail","445310","445310","","","","Private","Horry","1.00","340000.00","FOODLION.COM","2007"
"Time In A Bottle Fine Wine","300 Front St # 3","Beaufort","NC","28516","2147","","","","2522415441","Wines-Retail","445310","","","","","Private","Carteret","2.00","412000.00","","2016"
"Tinto","640 Hilltop West Shopping Ctr","Virginia Beach","VA","23451","6139","","","","7574221000","Wines-Retail","445310","","","","","Private","Virginia Beach","9.00","119000.00","TINTOWINEANDCHEESE.COM","2014"
"Tinto Wine & Cheese","236 Carmichael Way # 308","Chesapeake","VA","23322","2185","","","","7573255413","Wines-Retail","445310","","","","","Private","Chesapeake","3.00","777000.00","","2016"
"Tipsy Bottle","1504 Carolina Pl # 112","Fort Mill","SC","29708","7058","Hitesh","Pitel","Owner","8035470005","Liquors-Retail","445310","445310","","","","Private","York","2.00","948000.00","THETIPSYBARREL.COM","2012"
"Tobacco Beer & Wine LLC","2104 Oakheart Rd","Myrtle Beach","SC","29579","1253","Marty","Cannon","Owner","8432367750","Beer & Ale-Retail","445310","453991","","","","Private","Horry","1.00","340000.00","TOBACCOBEERANDWINE.COM","2013"
"Toddy's Package Store","4821 Kingston Pike","Knoxville","TN","37919","5110","Dick","Harvey","CEO","8655840577","Liquors-Retail","445310","445310","","","","Private","Knox","15.00","5283000.00","TODDYSKNOXVILLE.COM","1961"
"Tony's Liquor Store","3715 E North St","Greenville","SC","29615","2302","Tony","Vanderwood","Owner","8642443844","Liquors-Retail","445310","445310","453220","453998","","Private","Greenville","4.00","1496000.00","TONYSLIQUORS.COM","1996"
